phrase,lang,source,observed_hallucination_count,note
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1750,
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1523,
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1521,
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,lexicon_top,1489,
eta hori garrantzitsua da,eu,lexicon_top,2,
ممنون,fa,lexicon_top,3,
kiitos,fi,lexicon_top,9050,
"Kiitos, minä",fi,lexicon_top,52,
kiitos kun katsoit,fi,lexicon_top,2,
kiitos kun katsoit tehdään yhdessä uutta videoa,fi,lexicon_top,2,
kiitos kun katsoit tämä on seuraava video kiitos,fi,lexicon_top,2,
þeir agurðu áttu,fo,lexicon_top,4,
þeir agaðu áttu,fo,lexicon_top,3,
þeir agarðu á þeir fyrir,fo,lexicon_top,2,
þeir agurðu fyrir,fo,lexicon_top,2,
þeir fyrir,fo,lexicon_top,2,
Sous-titrage Société Radio-Canada,fr,lexicon_top,150783,
merci,fr,lexicon_top,79918,
"le Président, M",fr,lexicon_top,17491,
Je remercie,fr,lexicon_top,7395,
Je vous remercie,fr,lexicon_top,2838,
le Président et M,fr,lexicon_top,2797,
au revoir,fr,lexicon_top,1396,
le Président,fr,lexicon_top,1191,
merci d'avoir regardé cette vidéo,fr,lexicon_top,1068,
Sécurité,fr,lexicon_top,1053,
Oui,fr,lexicon_top,1020,
Merci à vous,fr,lexicon_top,886,
"Merci, M",fr,lexicon_top,841,
Pour,fr,lexicon_top,804,
Merci à mes Tipeurs et souscripteurs,fr,lexicon_top,650,
ata la próxima,gl,lexicon_top,2,
vale vale vale vale,gl,lexicon_top,2,
अगर सबपट ख ल करत ह,gu,lexicon_top,2,
સ વ how how,gu,lexicon_top,2,
implant plant plant 3,ha,lexicon_top,2,
top croatian,ha,lexicon_top,2,
ye maha dorana,ha,lexicon_top,2,
ක ර මට ක ර මට ක ර මට,ha,lexicon_top,2,
න න,ha,lexicon_top,2,
thank you for watching,haw,lexicon_top,2,
thank you for watching please subscribe,haw,lexicon_top,2,
thanks for watching,haw,lexicon_top,2,
下集再会,haw,lexicon_top,2,
תודה רבה,he,lexicon_top,3,
thanks for watching,hi,lexicon_top,3,
त र,hi,lexicon_top,2,
त ह,hi,lexicon_top,2,
hvala što pratite kanal,hr,lexicon_top,146785,
Hvala vam,hr,lexicon_top,13292,
Hvala,hr,lexicon_top,7568,
što pratite kanal,hr,lexicon_top,2739,
Hvala što pratite,hr,lexicon_top,2366,
pratite kanal,hr,lexicon_top,2018,
Hvala vam na sviđanju,hr,lexicon_top,1847,
Hvala vam se,hr,lexicon_top,1706,
kanal,hr,lexicon_top,1673,
Hvala na sviđanju,hr,lexicon_top,1653,
Sviđa,hr,lexicon_top,1010,
Hvala se,hr,lexicon_top,613,
Hvala vam na sviđanje,hr,lexicon_top,362,
Uvijek,hr,lexicon_top,335,
vam,hr,lexicon_top,254,
music,ht,lexicon_top,2,
namaste,hu,lexicon_top,149325,
Köszönöm,hu,lexicon_top,26109,
Köszönöm szépen,hu,lexicon_top,24607,
köszönöm hogy megnézted,hu,lexicon_top,1828,
szépen,hu,lexicon_top,972,
Ha tetszett,hu,lexicon_top,757,
Köszönjük,hu,lexicon_top,742,
Nem,hu,lexicon_top,640,
Egy,hu,lexicon_top,505,
Hogy,hu,lexicon_top,486,
Oké,hu,lexicon_top,321,
Rendben,hu,lexicon_top,295,
Szó,hu,lexicon_top,294,
Ellene,hu,lexicon_top,282,
megnézted,hu,lexicon_top,282,
terima kasih telah menonton,id,lexicon_top,3,
terima kasih sudah menonton jangan lupa subscribe like,id,lexicon_top,2,
Grazie,it,lexicon_top,983,
grazie mille,it,lexicon_top,953,
Grazie a tutti,it,lexicon_top,244,
Chi è a favore,it,lexicon_top,133,
Compromesso 10,it,lexicon_top,105,
Perchè,it,lexicon_top,72,
La votazione è aperta,it,lexicon_top,61,
mille,it,lexicon_top,54,
grazie per la visione,it,lexicon_top,2,
見てくれてありがとう,ja,lexicon_top,4,
ご視聴ありがとうございました,ja,lexicon_top,3,
谢谢观看 下集再见,jw,lexicon_top,3,
sampai jumpa,jw,lexicon_top,2,
құрсыңыз,kk,lexicon_top,2,
әріңіздер,kk,lexicon_top,2,
dshs stance,km,lexicon_top,3,
thank you for watching,km,lexicon_top,3,
ขอบค ณคร บ,km,lexicon_top,2,
ន ន ន,km,lexicon_top,2,
ಕ ಟ ಟ ನ ನ ಮ ತರ ಗ ಬ,kn,lexicon_top,3,
ದ ದ,kn,lexicon_top,3,
ಯಲ ಲ,kn,lexicon_top,2,
ವ ಗ ಸ ತ ದ ದ,kn,lexicon_top,2,
구독해주세요,ko,lexicon_top,2,
시청해 주셔서 감사합니다,ko,lexicon_top,2,
시청해주셔서 감사합니다,ko,lexicon_top,2,
's a big help to me,la,lexicon_top,2,
www fallingplates com,la,lexicon_top,2,
en dan is er nog een jaar of een jaar,lb,lexicon_top,2,
merci d'avoir regardé cette vidéo,lb,lexicon_top,2,
sous titres par jérémy dupont,lb,lexicon_top,2,
kwa nafasha kwa mbili,ln,lexicon_top,2,
คร บ,lo,lexicon_top,3,
ขอบค ณส าหร บความชม ก,lo,lexicon_top,2,
ความส ขของค ณ,lo,lexicon_top,2,
ดตามตอนต อไป,lo,lexicon_top,2,
ระว ง และ สว สด กระว,lo,lexicon_top,2,
อไป,lo,lexicon_top,2,
Dėkis,lt,lexicon_top,121685,
Paldies,lt,lexicon_top,111274,
Pag,lt,lexicon_top,49533,
Dabarėjau,lt,lexicon_top,26965,
Ačiū,lt,lexicon_top,22517,
"Dėkis, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,lexicon_top,15058,
Taip,lt,lexicon_top,14221,
Dabarėjimu,lt,lexicon_top,10643,
Ďakujem,lt,lexicon_top,6683,
Tai,lt,lexicon_top,6677,
Labai,lt,lexicon_top,3331,
Dabarėjome,lt,lexicon_top,2541,
– Dėkis,lt,lexicon_top,2516,
"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,lexicon_top,2461,
"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,lexicon_top,2425,
paldies,lv,lexicon_top,3223,
Plāksmē,lv,lexicon_top,64,
un jūs esat iespējami,lv,lexicon_top,2,
merci pour votre attention,mg,lexicon_top,2,
sous titres par leonardo martinez,mg,lexicon_top,2,
sous titres par rafael moraes,mg,lexicon_top,2,
tēnā koe,mi,lexicon_top,2,
се сочуваат со вашата система,mk,lexicon_top,2,
сеќава сеќава,mk,lexicon_top,2,
notified of upcoming videos,ml,lexicon_top,2,
thank you for watching,ml,lexicon_top,2,
කරන න,mn,lexicon_top,3,
මට ක ර මට ක ර මට ක ර,mn,lexicon_top,2,
ර මට ක ර මට ක ර මට ක,mn,lexicon_top,2,
प रस त त र क रम व,mr,lexicon_top,3,
Ďakujem,mt,lexicon_top,9190,
Hvala što pratite kanal,mt,lexicon_top,6349,
NĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚ�,mt,lexicon_top,2605,
Hvala što pratite,mt,lexicon_top,2486,
Għħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħħ�,mt,lexicon_top,1872,
Hvala,mt,lexicon_top,1404,
Paldies,mt,lexicon_top,668,
Grazie,mt,lexicon_top,595,
000,mt,lexicon_top,447,
Hrķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķķ,mt,lexicon_top,404,
Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,mt,lexicon_top,331,
President,mt,lexicon_top,322,
Sra,mt,lexicon_top,304,
Hvala še,mt,lexicon_top,299,
Issa,mt,lexicon_top,168,
多謝您的觀看,my,lexicon_top,2,
thanks for watching,ne,lexicon_top,2,
Dank u wel,nl,lexicon_top,123,
