phrase_norm,phrase,lang,count,source,provenance,count_basis
textning,Textning,sv,56034,granary,observed,observed
pag,Pag,lt,49533,granary,observed,observed
mulțumit pentru vizionare,MULȚUMIT PENTRU VIZIONARE,ro,47032,granary,observed,observed
la revedere,la revedere,ro,44576,granary|hf_noise,observed,observed
tack till elever och personal vid säkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssä,Tack till elever och personal vid Säkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssäkerhetssä,sv,41530,granary,observed,observed
ďakuj,Ďakuj,sk,40009,granary,observed,observed
hvala što pratite,Hvala što pratite,sl,37478,granary,observed,observed
să ne vedem la următoarea mea rețetă,să ne vedem la următoarea mea rețetă,ro,32819,granary|hf_noise,observed,observed
kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,Kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik kõik,et,31943,granary,observed,observed
thank you,thank you,en,31353,agh_full|granary|hf_noise,observed,observed
terima kasih.,Terima kasih.,ms,31353,mined:turbo|v2|v3|v3|translated:en,mined,observed
감사합니다.,감사합니다.,ko,31353,mined:turbo|translated:en|translated:en,mined,observed
baie dankie.,Baie dankie.,af,31353,translated:en,translated,inherited
አመሰግናለሁ,አመሰግናለሁ,am,31353,translated:en,translated,inherited
شكراً لكِ,شكراً لكِ,ar,31353,translated:en,translated,inherited
çox sağ olun.,Çox sağ olun.,az,31353,translated:en,translated,inherited
дзякуй.,Дзякуй.,be,31353,translated:en,translated,inherited
благодаря ти.,Благодаря ти.,bg,31353,translated:en,translated,inherited
ধন্যবাদ,ধন্যবাদ,bn,31353,translated:en,translated,inherited
gràcies.,Gràcies.,ca,31353,translated:en,translated,inherited
děkuji vám.,Děkuji vám.,cs,31353,translated:en,translated,inherited
diolch yn fawr,Diolch yn fawr,cy,31353,translated:en,translated,inherited
- tak for det.,- Tak for det.,da,31353,translated:en,translated,inherited
ich danke dir .,Ich danke dir .,de,31353,translated:en,translated,inherited
ευχαριστούμε.,Ευχαριστούμε.,el,31353,translated:en,translated,inherited
gracias .,Gracias .,es,31353,translated:en,translated,inherited
tänan teid.,Tänan teid.,et,31353,translated:en,translated,inherited
eskerrik asko.,Eskerrik asko.,eu,31353,translated:en,translated,inherited
ممنونم,ممنونم,fa,31353,translated:en,translated,inherited
kiitoksia.,Kiitoksia.,fi,31353,translated:en,translated,inherited
je vous remercie.,Je vous remercie.,fr,31353,translated:en,translated,inherited
moitas grazas.,Moitas grazas.,gl,31353,translated:en,translated,inherited
આભાર,આભાર,gu,31353,translated:en,translated,inherited
na gode sosai.,Na gode sosai.,ha,31353,translated:en,translated,inherited
תודה לך.,תודה לך.,he,31353,translated:en,translated,inherited
धन्यवाद,धन्यवाद,hi,31353,translated:en,translated,inherited
hvala vam.,Hvala vam.,hr,31353,translated:en,translated,inherited
köszönjük!,Köszönjük!,hu,31353,translated:en,translated,inherited
շնորհակալություն:,Շնորհակալություն:,hy,31353,translated:en,translated,inherited
terima kasih.,Terima kasih.,id,31353,translated:en,translated,inherited
takk fyrir.,Takk fyrir.,is,31353,translated:en,translated,inherited
- grazie. - grazie.,- Grazie. - Grazie.,it,31353,translated:en,translated,inherited
ありがとうございました,ありがとうございました,ja,31353,translated:en,translated,inherited
matur nuwun,matur nuwun,jw,31353,translated:en,translated,inherited
გმადლობთ.,გმადლობთ.,ka,31353,translated:en,translated,inherited
рақмет.,Рақмет.,kk,31353,translated:en,translated,inherited
អរគុណ,អរគុណ,km,31353,translated:en,translated,inherited
ಧನ್ಯವಾದಗಳು,ಧನ್ಯವಾದಗಳು,kn,31353,translated:en,translated,inherited
ຂອບໃຈ,ຂອບໃຈ,lo,31353,translated:en,translated,inherited
ačiū.,Ačiū.,lt,31353,translated:en,translated,inherited
paldies.,Paldies.,lv,31353,translated:en,translated,inherited
misaotra anao,Misaotra anao,mg,31353,translated:en,translated,inherited
ви благодарам.,Ви благодарам.,mk,31353,translated:en,translated,inherited
നന്ദി .,നന്ദി .,ml,31353,translated:en,translated,inherited
та бүхэнд баярлалаа.,Та бүхэнд баярлалаа.,mn,31353,translated:en,translated,inherited
धन्यवाद.,धन्यवाद.,mr,31353,translated:en,translated,inherited
grazzi ħafna.,Grazzi ħafna.,mt,31353,translated:en,translated,inherited
ကျေးဇူးတင်ပါတယ်။,ကျေးဇူးတင်ပါတယ်။,my,31353,translated:en,translated,inherited
धन्यवाद,धन्यवाद,ne,31353,translated:en,translated,inherited
dank je wel.,Dank je wel.,nl,31353,translated:en,translated,inherited
takk for det.,Takk for det.,no,31353,translated:en,translated,inherited
ਧੰਨਵਾਦ,ਧੰਨਵਾਦ,pa,31353,translated:en,translated,inherited
dziękujemy.,Dziękujemy.,pl,31353,translated:en,translated,inherited
مننه,مننه,ps,31353,translated:en,translated,inherited
muito obrigado.,Muito obrigado.,pt,31353,translated:en,translated,inherited
multumesc.,Multumesc.,ro,31353,translated:en,translated,inherited
- спасибо.,- Спасибо.,ru,31353,translated:en,translated,inherited
شڪر ڪر,شڪر ڪر,sd,31353,translated:en,translated,inherited
ස්තූතියි.,ස්තූතියි.,si,31353,translated:en,translated,inherited
ďakujem .,Ďakujem .,sk,31353,translated:en,translated,inherited
hvala. -hvala.,Hvala. -Hvala.,sl,31353,translated:en,translated,inherited
ndinokutendai,Ndinokutendai,sn,31353,translated:en,translated,inherited
waad ku mahadsantihiin,Waad ku mahadsantihiin,so,31353,translated:en,translated,inherited
faleminderit.,Faleminderit.,sq,31353,translated:en,translated,inherited
хвала вам.,Хвала вам.,sr,31353,translated:en,translated,inherited
hatur nuhun,hatur nuhun,su,31353,translated:en,translated,inherited
tack så mycket.,Tack så mycket.,sv,31353,translated:en,translated,inherited
asante sana,Asante sana,sw,31353,translated:en,translated,inherited
நன்றி,நன்றி,ta,31353,translated:en,translated,inherited
ధన్యవాదాలు,ధన్యవాదాలు,te,31353,translated:en,translated,inherited
ташаккур.,Ташаккур.,tg,31353,translated:en,translated,inherited
ขอบคุณค่ะ,ขอบคุณค่ะ,th,31353,translated:en,translated,inherited
maraming salamat.,Maraming salamat.,tl,31353,translated:en,translated,inherited
teşekkür ederim.,Teşekkür ederim.,tr,31353,translated:en,translated,inherited
дякую.,Дякую.,uk,31353,translated:en,translated,inherited
شکریہ,شکریہ,ur,31353,translated:en,translated,inherited
rahmat,rahmat,uz,31353,translated:en,translated,inherited
cảm ơn.,Cảm ơn.,vi,31353,translated:en,translated,inherited
mo dúpẹ́ lọ́wọ́ rẹ,mo dúpẹ́ lọ́wọ́ rẹ,yo,31353,translated:en,translated,inherited
谢谢你.,谢谢你.,zh,31353,translated:en,translated,inherited
ďakujem za pozornosť,Ďakujem za pozornosť,sl,30823,granary,observed,observed
hvala še,Hvala še,sl,29093,granary,observed,observed
dabarėjau,Dabarėjau,lt,26965,granary,observed,observed
mulțumesc,Mulțumesc,ro,26905,granary,observed,observed
köszönöm,Köszönöm,hu,26109,granary,observed,observed
thanks for watching,thanks for watching,en,25053,agh_boh|agh_full|hf_noise,observed,observed
시청해주셔서 감사합니다.,시청해주셔서 감사합니다.,ko,25053,mined:turbo|v2|translated:en|translated:en|translated:en,mined,observed
dankie dat jy gekyk het.,Dankie dat jy gekyk het.,af,25053,translated:en,translated,inherited
ስላዩኝ አመሰግናለሁ,ስላዩኝ አመሰግናለሁ,am,25053,translated:en,translated,inherited
شكراً على مشاهدتكم,شكراً على مشاهدتكم,ar,25053,translated:en,translated,inherited
baxdığınız üçün təşəkkür edirəm.,Baxdığınız üçün təşəkkür edirəm.,az,25053,translated:en,translated,inherited
дзякуй за назіранне.,Дзякуй за назіранне.,be,25053,translated:en,translated,inherited
"благодаря, че гледахте.","Благодаря, че гледахте.",bg,25053,translated:en,translated,inherited
দেখার জন্য ধন্যবাদ,দেখার জন্য ধন্যবাদ,bn,25053,translated:en,translated,inherited
gràcies per veure'm.,Gràcies per veure'm.,ca,25053,translated:en,translated,inherited
díky za sledování.,Díky za sledování.,cs,25053,translated:en,translated,inherited
diolch am wylio,Diolch am wylio,cy,25053,translated:en,translated,inherited
tak for at se.,Tak for at se.,da,25053,translated:en,translated,inherited
danke fürs betrachten.,Danke fürs Betrachten.,de,25053,translated:en,translated,inherited
σ' ευχαριστώ που παρακολουθείς.,Σ' ευχαριστώ που παρακολουθείς.,el,25053,translated:en,translated,inherited
gracias por ver.,Gracias por ver.,es,25053,translated:en,translated,inherited
"aitäh, et vaatad.","Aitäh, et vaatad.",et,25053,translated:en,translated,inherited
eskerrik asko begira egoteagatik.,Eskerrik asko begira egoteagatik.,eu,25053,translated:en,translated,inherited
ممنون که نگاه کردي,ممنون که نگاه کردي,fa,25053,translated:en,translated,inherited
kiitos katsomasta.,Kiitos katsomasta.,fi,25053,translated:en,translated,inherited
merci d'avoir regardé.,Merci d'avoir regardé.,fr,25053,translated:en,translated,inherited
grazas por ver.,Grazas por ver.,gl,25053,translated:en,translated,inherited
જોવા માટે આભાર,જોવા માટે આભાર,gu,25053,translated:en,translated,inherited
na gode da kallon,Na gode da kallon,ha,25053,translated:en,translated,inherited
תודה שצפיתם.,תודה שצפיתם.,he,25053,translated:en,translated,inherited
देखने के लिए धन्यवाद,देखने के लिए धन्यवाद,hi,25053,translated:en,translated,inherited
hvala što ste gledali.,Hvala što ste gledali.,hr,25053,translated:en,translated,inherited
"köszönöm, hogy megnéztetek.","Köszönöm, hogy megnéztetek.",hu,25053,translated:en,translated,inherited
շնորհակալություն դիտելու համար:,Շնորհակալություն դիտելու համար:,hy,25053,translated:en,translated,inherited
terima kasih sudah menonton.,Terima kasih sudah menonton.,id,25053,translated:en,translated,inherited
takk fyrir að fylgjast með.,Takk fyrir að fylgjast með.,is,25053,translated:en,translated,inherited
grazie per aver guardato.,Grazie per aver guardato.,it,25053,translated:en,translated,inherited
観てくれてありがとう,観てくれてありがとう,ja,25053,translated:en,translated,inherited
matur nuwun sampun nonton,matur nuwun sampun nonton,jw,25053,translated:en,translated,inherited
"გმადლობთ, რომ უყურებთ.","გმადლობთ, რომ უყურებთ.",ka,25053,translated:en,translated,inherited
байқағаныңыз үшін рахмет,Байқағаныңыз үшін рахмет,kk,25053,translated:en,translated,inherited
អរគុណ ដែល បាន មើល,អរគុណ ដែល បាន មើល,km,25053,translated:en,translated,inherited
ವೀಕ್ಷಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು,ವೀಕ್ಷಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು,kn,25053,translated:en,translated,inherited
ຂອບໃຈທີ່ເບິ່ງ,ຂອບໃຈທີ່ເບິ່ງ,lo,25053,translated:en,translated,inherited
"ačiū, kad žiūrėjote.","Ačiū, kad žiūrėjote.",lt,25053,translated:en,translated,inherited
paldies par skatīšanu.,Paldies par skatīšanu.,lv,25053,translated:en,translated,inherited
misaotra nijery,Misaotra nijery,mg,25053,translated:en,translated,inherited
ви благодарам што го гледате.,Ви благодарам што го гледате.,mk,25053,translated:en,translated,inherited
നോക്കിയതിന് നന്ദി,നോക്കിയതിന് നന്ദി,ml,25053,translated:en,translated,inherited
хяналт тавьсандаа баярлалаа.,Хяналт тавьсандаа баярлалаа.,mn,25053,translated:en,translated,inherited
पाहत असल्याबद्दल धन्यवाद,पाहत असल्याबद्दल धन्यवाद,mr,25053,translated:en,translated,inherited
terima kasih kerana menonton.,Terima kasih kerana menonton.,ms,25053,translated:en,translated,inherited
grazzi għall-ħarsien,Grazzi għall-ħarsien,mt,25053,translated:en,translated,inherited
ကြည့်တာအတွက် ကျေးဇူးပါ။,ကြည့်တာအတွက် ကျေးဇူးပါ။,my,25053,translated:en,translated,inherited
हेर्नु भएकोमा धन्यवाद,हेर्नु भएकोमा धन्यवाद,ne,25053,translated:en,translated,inherited
bedankt voor het kijken.,Bedankt voor het kijken.,nl,25053,translated:en,translated,inherited
takk for å se.,Takk for å se.,no,25053,translated:en,translated,inherited
ਦੇਖਣ ਲਈ ਧੰਨਵਾਦ,ਦੇਖਣ ਲਈ ਧੰਨਵਾਦ,pa,25053,translated:en,translated,inherited
dziękuję za oglądanie.,Dziękuję za oglądanie.,pl,25053,translated:en,translated,inherited
د کتلو لپاره مننه,د کتلو لپاره مننه,ps,25053,translated:en,translated,inherited
obrigado por assistir.,Obrigado por assistir.,pt,25053,translated:en,translated,inherited
mulţumesc că te-ai uitat .,Mulţumesc că te-ai uitat .,ro,25053,translated:en,translated,inherited
"спасибо, что посмотрели.","Спасибо, что посмотрели.",ru,25053,translated:en,translated,inherited
ڏسڻ لاءِ شڪر,ڏسڻ لاءِ شڪر,sd,25053,translated:en,translated,inherited
ස්තුතියි බලපු එකට.,ස්තුතියි බලපු එකට.,si,25053,translated:en,translated,inherited
ďakujem za sledovanie.,Ďakujem za sledovanie.,sk,25053,translated:en,translated,inherited
hvala za gledanje.,Hvala za gledanje.,sl,25053,translated:en,translated,inherited
ndinokutendai nokucherechedza kwenyu,Ndinokutendai nokucherechedza kwenyu,sn,25053,translated:en,translated,inherited
waad ku mahadsantahay inaad daawatay,Waad ku mahadsantahay inaad daawatay,so,25053,translated:en,translated,inherited
faleminderit për shikimin.,Faleminderit për shikimin.,sq,25053,translated:en,translated,inherited
хвала што сте гледали.,Хвала што сте гледали.,sr,25053,translated:en,translated,inherited
hatur nuhun keur ningali,hatur nuhun keur ningali,su,25053,translated:en,translated,inherited
tack för att ni tittade.,Tack för att ni tittade.,sv,25053,translated:en,translated,inherited
asante kwa kutazama,asante kwa kutazama,sw,25053,translated:en,translated,inherited
கவனித்ததற்கு நன்றி,கவனித்ததற்கு நன்றி,ta,25053,translated:en,translated,inherited
చూస్తున్నందుకు ధన్యవాదాలు,చూస్తున్నందుకు ధన్యవాదాలు,te,25053,translated:en,translated,inherited
ташаккур барои тамошо,ташаккур барои тамошо,tg,25053,translated:en,translated,inherited
ขอบคุณที่ดู,ขอบคุณที่ดู,th,25053,translated:en,translated,inherited
salamat sa panonood,salamat sa panonood,tl,25053,translated:en,translated,inherited
i̇zlediğiniz için teşekkürler.,İzlediğiniz için teşekkürler.,tr,25053,translated:en,translated,inherited
"дякую, що подивилися.","Дякую, що подивилися.",uk,25053,translated:en,translated,inherited
دیکھنے کے لئے شکریہ,دیکھنے کے لئے شکریہ,ur,25053,translated:en,translated,inherited
kuzatib turganingiz uchun rahmat,kuzatib turganingiz uchun rahmat,uz,25053,translated:en,translated,inherited
cảm ơn vì đã xem.,Cảm ơn vì đã xem.,vi,25053,translated:en,translated,inherited
o ṣeun fún wíwo rẹ,O ṣeun fún wíwo rẹ,yo,25053,translated:en,translated,inherited
谢谢你观看.,谢谢你观看.,zh,25053,translated:en,translated,inherited
köszönöm szépen,Köszönöm szépen,hu,24607,granary,observed,observed
tack så mycket,Tack så mycket,sv,23877,granary,observed,observed
gracias señor presidente,"Gracias, señor presidente",es,23074,granary,observed,observed
hvala vam,Hvala vam,sl,22922,granary,observed,observed
ačiū,Ačiū,lt,22517,granary,observed,observed
tak fordi du lyttede med,Tak fordi du lyttede med,da,21659,granary,observed,observed
ευχαριστώ,ευχαριστώ,el,21266,granary|hf_noise,observed,observed
ir,Ir,lt,18631,granary|translated:en,observed,observed
hvala lepa,Hvala lepa,sl,18054,granary,observed,observed
le président m,"le Président, M",fr,17491,granary,observed,observed
cc por antarctica films argentina,CC por Antarctica Films Argentina,es,17436,granary,observed,observed
tak fordi du så med,Tak fordi du så med,da,17218,granary,observed,observed
tak,Tak,da,16138,granary,observed,observed
благодаря,благодаря,bg,15130,granary|hf_noise,observed,observed
dėkis kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"Dėkis, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,15058,granary,observed,observed
taip,Taip,lt,14221,granary,observed,observed
hvala vam,Hvala vam,hr,13292,granary,observed,observed
ar,Ar,lt,12382,granary,observed,observed
nu uitați să distribuiți acest material video pe alte rețele sociale,Nu uitați să distribuiți acest material video pe alte rețele sociale,ro,12082,granary,observed,observed
tack,Tack,sv,11914,granary,observed,observed
ja,Ja,sv,11835,granary,observed,observed
hvorfor,Hvorfor,da,10744,granary,observed,observed
dabarėjimu,Dabarėjimu,lt,10643,granary,observed,observed
hvala š,Hvala š,sl,10578,granary,observed,observed
hvad er det,Hvad er det,da,10281,granary,observed,observed
za pozornosť,za pozornosť,sk,9407,granary,observed,observed
pozornosť,pozornosť,sk,9383,granary|hf_noise,observed,observed
ďakujem,Ďakujem,mt,9190,granary,observed,observed
kiitos,kiitos,fi,9050,granary|hf_noise,observed,observed
σασ ευχαριστώ,σας ευχαριστώ,el,9021,granary|hf_noise,observed,observed
gracias señora presidenta,"Gracias, señora presidenta",es,8787,granary,observed,observed
sra,Sra,pt,8711,granary,observed,observed
mersi,Mersi,ro,8073,granary,observed,observed
kõige,Kõige,et,7729,granary,observed,observed
hvala,Hvala,hr,7568,granary,observed,observed
děkuji,Děkuji,cs,7495,granary,observed,observed
bien,Bien,es,7478,granary,observed,observed
je remercie,Je remercie,fr,7395,granary,observed,observed
hvala na,Hvala na,sl,6979,granary,observed,observed
ďakujem,Ďakujem,lt,6683,granary,observed,observed
tai,Tai,lt,6677,granary,observed,observed
hvala što pratite kanal,Hvala što pratite kanal,mt,6349,granary,observed,observed
thank you for watching,thank you for watching,en,6264,agh_boh|agh_full|hf_noise,observed,observed
"благодаря ти, че гледаш.","Благодаря ти, че гледаш.",bg,6264,translated:en,translated,inherited
দেখার জন্য আপনাকে ধন্যবাদ,দেখার জন্য আপনাকে ধন্যবাদ,bn,6264,translated:en,translated,inherited
"děkuji, že jste se dívala.","Děkuji, že jste se dívala.",cs,6264,translated:en,translated,inherited
diolch i chi am wylio,Diolch i chi am wylio,cy,6264,translated:en,translated,inherited
"danke, dass du zuschaust.","Danke, dass du zuschaust.",de,6264,translated:en,translated,inherited
σ' ευχαριστώ που με παρακολουθείς.,Σ' ευχαριστώ που με παρακολουθείς.,el,6264,translated:en,translated,inherited
ممنونم که نگاه کردي,ممنونم که نگاه کردي,fa,6264,translated:en,translated,inherited
merci de m'avoir regardé.,Merci de m'avoir regardé.,fr,6264,translated:en,translated,inherited
જોવાનું બદલ આભાર,જોવાનું બદલ આભાર,gu,6264,translated:en,translated,inherited
байқағаныңыз үшін рахмет .,Байқағаныңыз үшін рахмет .,kk,6264,translated:en,translated,inherited
"paldies, ka skatāties.","Paldies, ka skatāties.",lv,6264,translated:en,translated,inherited
misaotra anao nijery,Misaotra anao nijery,mg,6264,translated:en,translated,inherited
ви благодарам што гледате.,Ви благодарам што гледате.,mk,6264,translated:en,translated,inherited
хэтэрхий их баярлалаа.,Хэтэрхий их баярлалаа.,mn,6264,translated:en,translated,inherited
ကြည့်တာအတွက် ကျေးဇူးတင်ပါတယ်။,ကြည့်တာအတွက် ကျေးဇူးတင်ပါတယ်။,my,6264,translated:en,translated,inherited
takk for at du ser på.,Takk for at du ser på.,no,6264,translated:en,translated,inherited
mulţumesc că m-aţi uitat .,Mulţumesc că m-aţi uitat .,ro,6264,translated:en,translated,inherited
"спасибо, что смотрели.","Спасибо, что смотрели.",ru,6264,translated:en,translated,inherited
توهان کي ڏسڻ لاءِ مهرباني,توهان کي ڏسڻ لاءِ مهرباني,sd,6264,translated:en,translated,inherited
ස්තුතියි ඔයා බලන් ඉන්නවට.,ස්තුතියි ඔයා බලන් ඉන්නවට.,si,6264,translated:en,translated,inherited
"ďakujem, že ste sa pozreli.","Ďakujem, že ste sa pozreli.",sk,6264,translated:en,translated,inherited
faleminderit që e shikoni.,Faleminderit që e shikoni.,sq,6264,translated:en,translated,inherited
ташаккур барои тамошои,ташаккур барои тамошои,tg,6264,translated:en,translated,inherited
"дякую, що дивилися.","Дякую, що дивилися.",uk,6264,translated:en,translated,inherited
kuzatib turganingiz uchun tashakkur.,kuzatib turganingiz uchun tashakkur.,uz,6264,translated:en,translated,inherited
谢谢你看着,谢谢你看着,zh,6264,translated:en,translated,inherited
hvala za pozornosť,Hvala za pozornosť,sl,6152,granary,observed,observed
ωραία,Ωραία,el,6126,granary,observed,observed
