phrase_norm,phrase,lang,count,source,source_phrase
ek is nie seker of ek kan kry die,Ek is nie seker of ek kan kry die,af,109,translated:en,i m not sure if i can get the
ek gaan voort en doen dit,Ek gaan voort en doen dit,af,107,translated:en,i m going to go ahead and do that
ek is nie seker of ek die skild moes gebruik het nie,Ek is nie seker of ek die skild moes gebruik het nie,af,107,translated:en,i m not sure if i should have used the shield
die trein beweeg nou na die sentrale stasie,die trein beweeg nou na die sentrale stasie,af,107,translated:en,the train is now moving towards the central station
daar gaan ons.,Daar gaan ons.,af,103,translated:en,there we go
'n avaa,'n AVAA,af,89,translated:en,a avaa
"ek is nie seker of jy dit kan sien nie, maar ek is nie seker","Ek is nie seker of jy dit kan sien nie, maar ek is nie seker",af,89,translated:en,i m not sure if you can see it but i m not sure
laat ons gaan,laat ons gaan,af,89,translated:en,let s go
"o ja, ek weet.","O ja, ek weet.",af,89,translated:en,oh yeah
ek m,ek m,af,88,translated:en,i m
ek is nie seker wat om te doen met hierdie man,Ek is nie seker wat om te doen met hierdie man,af,87,translated:en,i m not sure what to do with this guy
ek gaan gaan vir iets te eet,Ek gaan gaan vir iets te eet,af,81,translated:en,i m going to go get some food
ek is nie seker wat om hier te doen,Ek is nie seker wat om hier te doen,af,81,translated:en,i m not sure what to do here
ek is nie seker of ek dit kan doen nie,Ek is nie seker of ek dit kan doen nie,af,79,translated:en,i m not sure if i can do it
die einde,die einde,af,78,translated:en,the end
voëls chirp,voëls chirp,af,75,translated:en,birds chirp
geslote onderskrifte verskaf deur die keiserlike nuusnetwerk,geslote onderskrifte verskaf deur die keiserlike nuusnetwerk,af,75,translated:en,closed captioning provided by the imperial news network
ek gaan gaan slaap,Ek gaan gaan slaap,af,75,translated:en,i m going to go to bed
ek gaan 'n bietjie water kry,Ek gaan 'n bietjie water kry,af,67,translated:en,i m going to go get some water
onderskrifte deur steamteamextra,onderskrifte deur steamteamextra,af,67,translated:en,subtitles by steamteamextra
o nee,O nee,af,66,translated:en,oh no
ek gaan dit nie doen nie,Ek gaan dit nie doen nie,af,65,translated:en,i m not going to do it
hallo en welkom by 'n ander episode van die,hallo en welkom by 'n ander episode van die,af,63,translated:en,hello and welcome to another episode of the
nee nee,Nee nee,af,63,translated:en,noo oo
ek gaan probeer om te kry die,Ek gaan probeer om te kry die,af,61,translated:en,i m going to try to get the
ah jy,Ah jy,af,59,translated:en,ah you
hallo almal,Hallo almal,af,59,translated:en,hello everyone
ek is nie seker wat dit beteken,Ek is nie seker wat dit beteken,af,59,translated:en,i m not sure what that means
"o, verdomme.","O, verdomme.",af,55,translated:en,oh fuck
ons sal dadelik terug wees.,Ons sal dadelik terug wees.,af,55,translated:en,we ll be right back
hier gaan ons.,Hier gaan ons.,af,53,translated:en,here we go
ek is nie seker of ek dit kan deurkom nie,Ek is nie seker of ek dit kan deurkom nie,af,53,translated:en,i m not sure if i can get through this
welkom by 'n ander episode van die,Welkom by 'n ander episode van die,af,53,translated:en,welcome to another episode of the
ek gaan dit weer doen,Ek gaan dit weer doen,af,51,translated:en,i m going to do it again
so tot volgende keer bye vir nou,So tot volgende keer bye vir nou,af,51,translated:en,so until next time bye for now
wooo wooo,Wooo wooo,af,51,translated:en,woo oo
ek gaan na die badkamer,Ek gaan na die badkamer,af,49,translated:en,i m going to go to the bathroom
ek is nie seker of ek die,Ek is nie seker of ek die,af,47,translated:en,i m not sure if i should have used the
o god,O God,af,47,translated:en,oh god
welkom by die,Welkom by die,af,47,translated:en,welcome to the
ek is lief vir jou,Ek is lief vir jou,af,43,translated:en,i love you
ek gaan dit nie doen nie,Ek gaan dit nie doen nie,af,43,translated:en,i m not going to do that
"ek is nie seker of ek die skild moes gebruik het nie, maar ek is nie seker of ek die skild moes gebruik het nie.","Ek is nie seker of ek die skild moes gebruik het nie, maar ek is nie seker of ek die skild moes gebruik het nie.",af,43,translated:en,i m not sure if i should have used the shield but i m not sure if i should have used the shield
transkripsie deur eso vertaling deur,transkripsie deur eso vertaling deur,af,43,translated:en,transcription by eso translation by
geslote onderskrifte verskaf deur muhsen,geslote onderskrifte verskaf deur muhsen,af,41,translated:en,closed captioning provided by muhsen
ek gaan,Ek gaan,af,41,translated:en,i m going to go
ek is nie seker wat die hel dit was,Ek is nie seker wat die hel dit was,af,41,translated:en,i m not sure what the hell that was
o man,O man,af,41,translated:en,oh man
daar gaan jy.,Daar gaan jy.,af,41,translated:en,there you go
baai 'n,Baai 'n,af,39,translated:en,baa a
hallo almal welkom by my kanaal,Hallo almal Welkom by my kanaal,af,39,translated:en,hello everyone welcome to my channel
hallo vriende,Hallo vriende,af,37,translated:en,hello friends
ek gaan jou kry,Ek gaan jou kry,af,35,translated:en,i m going to get you
ek gaan gaan kry 'n paar meer,Ek gaan gaan kry 'n paar meer,af,35,translated:en,i m going to go get some more
ek gaan na die ander kant,Ek gaan na die ander kant,af,35,translated:en,i m going to go to the other side
"ek is nie seker of jy dit kan sien nie, maar ek is nie seker","Ek is nie seker of jy dit kan sien nie, maar ek is nie seker",af,35,translated:en,i m not sure if you can see this but i m not sure
o my god,O my god,af,35,translated:en,oh my gosh
st. paul's kerk,St. Paul's kerk,af,35,translated:en,st paul s church
die stasie is 'n,die stasie is 'n,af,35,translated:en,the station is a
ek gaan voort en kry my tas,Ek gaan voort en kry my tas,af,33,translated:en,i m going to go ahead and get my bag
dit is dit,Dit is dit,af,33,translated:en,that s it
"ek is nie seker of ek dit moet doen nie, maar ek is nie seker","Ek is nie seker of ek dit moet doen nie, maar ek is nie seker",af,31,translated:en,i m not sure if i should do this but i m not sure
ek is nie seker of ek die flashbang moes gebruik het nie,Ek is nie seker of ek die flashbang moes gebruik het nie,af,31,translated:en,i m not sure if i should have used the flashbang
r jy,R jy,af,31,translated:en,rr you
die spel is gebaseer op die oorspronklike spel maar die spel is gebaseer op die oorspronklike spel,die spel is gebaseer op die oorspronklike spel maar die spel is gebaseer op die oorspronklike spel,af,31,translated:en,the game is based on the original game but the game is based on the original game
ek gaan voort en kry die,Ek gaan voort en kry die,af,29,translated:en,i m going to go ahead and get the
tanya cushman resensies,Tanya Cushman resensies,af,29,translated:en,tanya cushman reviewer s
goeie werk,Goeie werk,af,27,translated:en,good job
ek gaan my hond kry,Ek gaan my hond kry,af,27,translated:en,i m going to go get my dog
ek gaan 'n,Ek gaan 'n,af,27,translated:en,i m going to use a
"welkom in die stad new york, new york.","Welkom in die stad New York, New York.",af,27,translated:en,welcome to the new york city of new york
westelike tuin,westelike tuin,af,27,translated:en,west yard
wat doen jy?,Wat doen jy?,af,27,translated:en,what are you doing
'n aah,'n aah,af,25,translated:en,a aah
klokke klink,klokke klink,af,25,translated:en,bells chiming
ek weet,Ek weet,af,25,translated:en,i know
ek gaan voort en begin die motor,Ek gaan voort en begin die motor,af,25,translated:en,i m going to go ahead and start the engine
ek gaan na die volgende een,Ek gaan na die volgende een,af,25,translated:en,i m going to go to the next one
meng goed,meng goed,af,25,translated:en,mix well
die jy,die jy,af,25,translated:en,the you
uh jy,uh jy,af,25,translated:en,uh you
wes-ville,Wes-Ville,af,25,translated:en,west ville
wat oo,wat oo,af,25,translated:en,who oo
goeie seun,Goeie seun,af,23,translated:en,good boy
ek gaan voort en doen dit,Ek gaan voort en doen dit,af,23,translated:en,i m going to go ahead and do it
ek gaan 'n gat maak in die onderkant van die,Ek gaan 'n gat maak in die onderkant van die,af,23,translated:en,i m going to make a hole in the bottom of the
ek gaan 'n vinnige breek te neem en dan kop terug na die,Ek gaan 'n vinnige breek te neem en dan kop terug na die,af,23,translated:en,i m going to take a quick break and then head back to the
ek is nie seker of ek die geweer kan kry nie,Ek is nie seker of ek die geweer kan kry nie,af,23,translated:en,i m not sure if i can get the gun
is 'n,is 'n,af,23,translated:en,waa a
ho ho,Ho ho,af,21,translated:en,hoo oo
ek kan nie,Ek kan nie,af,21,translated:en,i can t
ek gaan jou nie laat gaan nie,Ek gaan jou nie laat gaan nie,af,21,translated:en,i m not going to let you go
ek is so opgewonde,Ek is so opgewonde,af,21,translated:en,i m so excited
laat ons sien,laat ons sien,af,21,translated:en,let s see
"o, hoe","O, hoe",af,21,translated:en,oh ho
baie dankie,Baie dankie,af,21,translated:en,thank you very much
die spel is gebaseer op die oorspronklike spel maar dit is nie die oorspronklike spel,die spel is gebaseer op die oorspronklike spel maar dit is nie die oorspronklike spel,af,21,translated:en,the game is based on the original game but it s not the original game
ek is 'n,Ek is 'n,af,20,translated:en,i m a
hallo ouens,Hallo ouens,af,19,translated:en,hi guys
die hel .,Die hel .,af,19,translated:en,holy shit
ek gaan dit weer moet doen,Ek gaan dit weer moet doen,af,19,translated:en,i m going to have to do this again
ek gaan maak 'n bietjie,Ek gaan maak 'n bietjie,af,19,translated:en,i m going to make a little
ek gaan probeer om 'n beter uitsig oor die water te kry,Ek gaan probeer om 'n beter uitsig oor die water te kry,af,19,translated:en,i m going to try to get a better view of the water
ek gaan probeer om dit uit die pad te kry,Ek gaan probeer om dit uit die pad te kry,af,19,translated:en,i m going to try to get it out of the way
ek gaan probeer om hier weg te kom,Ek gaan probeer om hier weg te kom,af,19,translated:en,i m going to try to get out of here
"ek is nie seker of dit die regte woord is nie, maar ek is nie seker of dit die regte woord is nie.","Ek is nie seker of dit die regte woord is nie, maar ek is nie seker of dit die regte woord is nie.",af,19,translated:en,i m not sure if that s the right word but i m not sure if that s the right word
"ek is nie seker of dit die beste manier is om dit te doen nie, maar ek is nie seker of dit die beste manier is om dit te doen nie.","Ek is nie seker of dit die beste manier is om dit te doen nie, maar ek is nie seker of dit die beste manier is om dit te doen nie.",af,19,translated:en,i m not sure if this is the best way to do it but i m not sure if it s the best way to do it
klinkklokkies,klinkklokkies,af,19,translated:en,jingle bells
o my god,O my God,af,19,translated:en,oh my goodness
sirene blaas,sirene blaas,af,19,translated:en,siren blares
die trein beweeg nou na die stasie,die trein beweeg nou na die stasie,af,19,translated:en,the train is now moving towards the station
westminster brug,westminster brug,af,19,translated:en,westminster bridge
'n dankie dat jy kyk,'n Dankie dat jy kyk,af,17,translated:en,a thank you for watching
bye einde,bye einde,af,17,translated:en,bee end
ek weet nie wat om te doen,Ek weet nie wat om te doen,af,17,translated:en,i don t know what to do
ek het dit.,Ek het dit.,af,17,translated:en,i got it
ek gaan 'n glas water drink,Ek gaan 'n glas water drink,af,17,translated:en,i m going to drink a glass of water
ek is by die huis,Ek is by die huis,af,17,translated:en,i m home
ek is nie,Ek is nie,af,17,translated:en,i m not
ek is nie seker nie,Ek is nie seker nie,af,17,translated:en,i m not sure
"ek is nie seker of dit die beste manier is om dit te doen nie, maar ek is nie seker of dit die beste manier is om dit te doen nie.","Ek is nie seker of dit die beste manier is om dit te doen nie, maar ek is nie seker of dit die beste manier is om dit te doen nie.",af,17,translated:en,i m not sure if this is the best way to do it but i m not sure if this is the best way
"ek is nie seker of dit die regte manier is om dit te doen nie, maar ek is nie seker of dit die regte manier is nie.","Ek is nie seker of dit die regte manier is om dit te doen nie, maar ek is nie seker of dit die regte manier is nie.",af,17,translated:en,i m not sure if this is the right way to do it but i m not sure if this is the right way
shh jy,Shh jy,af,17,translated:en,shh you
sss jy,Sss jy,af,17,translated:en,ss you
vertaal deur eso vertaal deur,vertaal deur eso vertaal deur,af,17,translated:en,transcribed by eso translated by
welkom by die stad new york,Welkom by die stad New York,af,17,translated:en,welcome to the new york city of new york city
wat is aan die gang?,Wat is aan die gang?,af,17,translated:en,what s up
en die,en die,af,16,translated:en,and the
onderskrifte deur nicosubs,onderskrifte deur nicosubs,af,15,translated:en,captions by nicosubs
kom hier,Kom hier,af,15,translated:en,come here
e einde,E einde,af,15,translated:en,ee end
aanhangers roer,aanhangers roer,af,15,translated:en,fans roar
vuur in die gat,vuur in die gat,af,15,translated:en,fire in the hole
goeie meisie,Goeie meisie,af,15,translated:en,good girl
ek het hom gekry.,Ek het hom gekry.,af,15,translated:en,got him
ek gaan voort en begin die opname,Ek gaan voort en begin die opname,af,15,translated:en,i m going to go ahead and start the recording
ek gaan 'n gat maak in die onderkant van die gat,Ek gaan 'n gat maak in die onderkant van die gat,af,15,translated:en,i m going to make a hole in the bottom of the hole
ek gaan 'n sous maak,Ek gaan 'n sous maak,af,15,translated:en,i m going to make a sauce
ek gaan probeer om dit met my hande te eet,Ek gaan probeer om dit met my hande te eet,af,15,translated:en,i m going to try to eat it with my hands
ek is nie 'n robot nie,Ek is nie 'n robot nie,af,15,translated:en,i m not a robot
ek gaan dit nie weer doen nie,Ek gaan dit nie weer doen nie,af,15,translated:en,i m not going to do it again
ek is nie seker of ek die sleutel tot die bors kan kry nie,Ek is nie seker of ek die sleutel tot die bors kan kry nie,af,15,translated:en,i m not sure if i can get the key to the chest
ek is nie seker of ek dit reg doen of nie,Ek is nie seker of ek dit reg doen of nie,af,15,translated:en,i m not sure if i m doing it right or not
ek is nie seker of ek gaan in staat wees om dit te doen,Ek is nie seker of ek gaan in staat wees om dit te doen,af,15,translated:en,i m not sure if i m going to be able to do it
"ek is nie seker of dit die beste manier is om dit te doen nie, maar ek is nie seker of dit die beste manier is om dit te doen nie.","Ek is nie seker of dit die beste manier is om dit te doen nie, maar ek is nie seker of dit die beste manier is om dit te doen nie.",af,15,translated:en,i m not sure if this is the best way to do it but i m not sure if this is the best way to do it
ek is nie seker of jy kan sien die rooi dot op die skerm,Ek is nie seker of jy kan sien die rooi dot op die skerm,af,15,translated:en,i m not sure if you can see the red dot on the screen
ek is nie seker wat ek doen,Ek is nie seker wat ek doen,af,15,translated:en,i m not sure what i m doing
ek is nie seker wat ek hier doen ek gaan net voortgaan,Ek is nie seker wat ek hier doen Ek gaan net voortgaan,af,15,translated:en,i m not sure what i m doing here i m just going to keep going
ek is nie seker wat dit is nie,Ek is nie seker wat dit is nie,af,15,translated:en,i m not sure what that is
"ek is nie seker hoekom ek dit doen nie, maar ek is nie seker nie.","Ek is nie seker hoekom ek dit doen nie, maar ek is nie seker nie.",af,15,translated:en,i m not sure why i m doing this but i m not sure
ek is so jammer,Ek is so jammer,af,15,translated:en,i m so sorry
kyk na dit.,Kyk na dit.,af,15,translated:en,look at that
ooh ooh,Ooh ooh,af,15,translated:en,oo ooh
ons sal jou volgende keer sien,Ons sal jou volgende keer sien,af,15,translated:en,we ll see you next time
welkom by my kanaal,Welkom by my kanaal,af,15,translated:en,welcome to my channel
wat is dit?,Wat is dit?,af,15,translated:en,what the fuck
een twee drie,een twee drie,af,14,translated:en,one two three
'n aah jy,'n aah jy,af,13,translated:en,a aah you
aanrrr,aanrrr,af,13,translated:en,arr rr
klank oerwoud,klank oerwoud,af,13,translated:en,audio jungle
kry hom,Kry hom,af,13,translated:en,get him
goeie nag,Goeie nag,af,13,translated:en,good night
haai 'n,Haai 'n,af,13,translated:en,haa a
hey ouens,hey ouens,af,13,translated:en,hey guys
hallo ouens welkom terug na my kanaal,Hallo ouens Welkom terug na my kanaal,af,13,translated:en,hi guys welcome back to my channel
ek is 'n man,Ek is 'n man,af,13,translated:en,i m a man
ek gaan voort en draai dit uit,Ek gaan voort en draai dit uit,af,13,translated:en,i m going to go ahead and turn it off
ek gaan na die strand,Ek gaan na die strand,af,13,translated:en,i m going to go to the beach
ek gaan na die regterkant,Ek gaan na die regterkant,af,13,translated:en,i m going to go to the right
ek gaan 'n gat maak in die onderkant van die pot,Ek gaan 'n gat maak in die onderkant van die pot,af,13,translated:en,i m going to make a hole in the bottom of the pot
ek gaan 'n nuwe huis bou,Ek gaan 'n nuwe huis bou,af,13,translated:en,i m going to make a new house
ek gaan 'n nuwe een maak,Ek gaan 'n nuwe een maak,af,13,translated:en,i m going to make a new one
ek gaan 'n foto van die,Ek gaan 'n foto van die,af,13,translated:en,i m going to take a picture of the
ek sal probeer om dit te kry,Ek sal probeer om dit te kry,af,13,translated:en,i m going to try to get it
ek is nie 'n monster nie,Ek is nie 'n monster nie,af,13,translated:en,i m not a monster
ek is nie seker of ek die kop shot kan kry,Ek is nie seker of ek die kop shot kan kry,af,13,translated:en,i m not sure if i can get the headshot
ek is nie seker of ek die swaard kan kry nie,Ek is nie seker of ek die swaard kan kry nie,af,13,translated:en,i m not sure if i can get the sword
ek is nie seker wat om te doen,Ek is nie seker wat om te doen,af,13,translated:en,i m not sure what to do
"o, hey","O, hey",af,13,translated:en,oh hey
jou dag,jou dag,af,13,translated:en,ta da
tanya cushman beoordelaar,Tanya Cushman beoordelaar,af,13,translated:en,tanya cushman reviewer
dit is goed,Dit is goed,af,13,translated:en,that s good
die stad is 'n stad van,die stad is 'n stad van,af,13,translated:en,the city is a city of
die stad londen,die stad Londen,af,13,translated:en,the city of london
die stad san francisco,die stad San Francisco,af,13,translated:en,the city of san francisco
die eerste baas is 'n baie belangrike baas dit is 'n baie belangrike baas,Die eerste baas is 'n baie belangrike baas dit is 'n baie belangrike baas,af,13,translated:en,the first boss is a very important boss it s a very important boss
"die eerste fase is 'n bietjie moeiliker, maar dit is nie te sleg nie.","Die eerste fase is 'n bietjie moeiliker, maar dit is nie te sleg nie.",af,13,translated:en,the first stage is a bit more difficult but it s not too bad
አመሰግናለሁ,አመሰግናለሁ,am,31353,translated:en,thank you
ስላዩኝ አመሰግናለሁ,ስላዩኝ አመሰግናለሁ,am,25053,translated:en,thanks for watching
ስላዩኝ አመሰግናለሁ,ስላዩኝ አመሰግናለሁ,am,6264,translated:en,thank you for watching
እዚህ ምን እንደማደርግ እርግጠኛ አይደለሁም,እዚህ ምን እንደማደርግ እርግጠኛ አይደለሁም,am,1317,translated:en,i m not sure what i m doing here
የአማራ ኦርግ ማህበረሰብ የተሰኘው ጽሑፍ,የአማራ ኦርግ ማህበረሰብ የተሰኘው ጽሑፍ,am,1122,translated:en,subtitles by the amara org community
ይቅርታ እጠይቃለሁ።,ይቅርታ እጠይቃለሁ።,am,940,translated:en,i m sorry
ኦህ አምላኬ,ኦህ አምላኬ,am,837,translated:en,oh my god
መልካም ነው,መልካም ነው,am,402,translated:en,all right
አላውቅም,አላውቅም,am,311,translated:en,i don t know
ኦህ እረኛ,ኦህ እረኛ,am,237,translated:en,oh shit
ይህን ማድረግ እንደምችል እርግጠኛ አይደለሁም,ይህን ማድረግ እንደምችል እርግጠኛ አይደለሁም,am,227,translated:en,i m not sure if i can do this
የጀራርድ ጎዳና,የጀራርድ ጎዳና,am,203,translated:en,gerrard street
ይህን ማድረግ እንዳለብኝ እርግጠኛ አይደለሁም ግን,ይህን ማድረግ እንዳለብኝ እርግጠኛ አይደለሁም ግን,am,199,translated:en,i m not sure if i should be doing this but
ከዚህ ጋር ምን ማድረግ እንዳለብኝ እርግጠኛ አይደለሁም,ከዚህ ጋር ምን ማድረግ እንዳለብኝ እርግጠኛ አይደለሁም,am,171,translated:en,i m not sure what to do with this
የደወል ቀለበቶች,የደወል ቀለበቶች,am,155,translated:en,bell rings
ከዚህ ጋር እንድታመልጥ አልፈቅድም።,ከዚህ ጋር እንድታመልጥ አልፈቅድም።,am,153,translated:en,i m not going to let you get away with this
አየዋለሁ,አየዋለሁ,am,143,translated:en,oh i see
ትራንስክሪፕት ኤሚሊ ቤይኖን,ትራንስክሪፕት ኤሚሊ ቤይኖን,am,133,translated:en,transcript emily beynon
ዋው ዋው,ዋው ዋው,am,133,translated:en,woo hoo
እኔ ወጥቻለሁ,እኔ ወጥቻለሁ,am,132,translated:en,i m out
ይህንን ለምን እንደማደርግ እርግጠኛ አይደለሁም,ይህንን ለምን እንደማደርግ እርግጠኛ አይደለሁም,am,129,translated:en,i m not sure why i m doing this
grrrr,grrrr,am,123,translated:en,grr rr
እኔ አንድ ለማድረግ እሄዳለሁ,እኔ አንድ ለማድረግ እሄዳለሁ,am,119,translated:en,i m going to make a
እንሂድ,እንሂድ,am,113,translated:en,come on
እኔ ማግኘት እንደሚችሉ እርግጠኛ አይደለሁም,እኔ ማግኘት እንደሚችሉ እርግጠኛ አይደለሁም,am,109,translated:en,i m not sure if i can get the
እኔ ወደፊት እና ማድረግ ይሄን እሄዳለሁ,እኔ ወደፊት እና ማድረግ ይሄን እሄዳለሁ,am,107,translated:en,i m going to go ahead and do that
ጋሻውን መጠቀም እንዳለብኝ እርግጠኛ አይደለሁም,ጋሻውን መጠቀም እንዳለብኝ እርግጠኛ አይደለሁም,am,107,translated:en,i m not sure if i should have used the shield
ባቡሩ አሁን ወደ ማዕከላዊ ጣቢያ እየተጓዘ ነው,ባቡሩ አሁን ወደ ማዕከላዊ ጣቢያ እየተጓዘ ነው,am,107,translated:en,the train is now moving towards the central station
እንሄዳለን,እንሄዳለን,am,103,translated:en,there we go
አቫ,አቫ,am,89,translated:en,a avaa
እኔ ማየት ይችላሉ ከሆነ እርግጠኛ አይደለሁም ነገር ግን እኔ እርግጠኛ አይደለሁም,እኔ ማየት ይችላሉ ከሆነ እርግጠኛ አይደለሁም ነገር ግን እኔ እርግጠኛ አይደለሁም,am,89,translated:en,i m not sure if you can see it but i m not sure
እስቲ እንሂድ,እስቲ እንሂድ,am,89,translated:en,let s go
አዎን,አዎን,am,89,translated:en,oh yeah
ከዚህ ሰው ጋር ምን ማድረግ እንዳለብኝ እርግጠኛ አይደለሁም,ከዚህ ሰው ጋር ምን ማድረግ እንዳለብኝ እርግጠኛ አይደለሁም,am,87,translated:en,i m not sure what to do with this guy
ወደ ምግብ ቤት እሄዳለሁ።,ወደ ምግብ ቤት እሄዳለሁ።,am,81,translated:en,i m going to go get some food
እዚህ ምን ማድረግ እንዳለብኝ እርግጠኛ አይደለሁም,እዚህ ምን ማድረግ እንዳለብኝ እርግጠኛ አይደለሁም,am,81,translated:en,i m not sure what to do here
ይህን ማድረግ እንደምችል እርግጠኛ አይደለሁም,ይህን ማድረግ እንደምችል እርግጠኛ አይደለሁም,am,79,translated:en,i m not sure if i can do it
መጨረሻው,መጨረሻው,am,78,translated:en,the end
ወፎች ይጮኻሉ,ወፎች ይጮኻሉ,am,75,translated:en,birds chirp
የኢምፔሪያል የዜና አውታረመረብ ያቀረበው የታሸገ ጽሑፍ,የኢምፔሪያል የዜና አውታረመረብ ያቀረበው የታሸገ ጽሑፍ,am,75,translated:en,closed captioning provided by the imperial news network
ወደ አልጋ እሄዳለሁ።,ወደ አልጋ እሄዳለሁ።,am,75,translated:en,i m going to go to bed
ውኃ ለማግኘት እሄዳለሁ።,ውኃ ለማግኘት እሄዳለሁ።,am,67,translated:en,i m going to go get some water
የድምፅ ምንጭ: steamteamextra,የድምፅ ምንጭ: steamteamextra,am,67,translated:en,subtitles by steamteamextra
ኦህ አይደለም,ኦህ አይደለም,am,66,translated:en,oh no
እኔ አላደርገውም,እኔ አላደርገውም,am,65,translated:en,i m not going to do it
ሰላምታ እና እንኳን ደህና መጣችሁ,ሰላምታ እና እንኳን ደህና መጣችሁ,am,63,translated:en,hello and welcome to another episode of the
አይ አይ አይ,አይ አይ አይ,am,63,translated:en,noo oo
እኔ ለማግኘት እየሞከሩ ነው,እኔ ለማግኘት እየሞከሩ ነው,am,61,translated:en,i m going to try to get the
አሃ አንተ,አሃ አንተ,am,59,translated:en,ah you
ሰላም ሁላችሁም,ሰላም ሁላችሁም,am,59,translated:en,hello everyone
ይህ ምን ማለት እንደሆነ እርግጠኛ አይደለሁም,ይህ ምን ማለት እንደሆነ እርግጠኛ አይደለሁም,am,59,translated:en,i m not sure what that means
ኦህ ድንግል,ኦህ ድንግል,am,55,translated:en,oh fuck
ወዲያውኑ እንመለሳለን።,ወዲያውኑ እንመለሳለን።,am,55,translated:en,we ll be right back
እዚህ እንሄዳለን,እዚህ እንሄዳለን,am,53,translated:en,here we go
ይህን ማለፍ እንደምችል እርግጠኛ አይደለሁም,ይህን ማለፍ እንደምችል እርግጠኛ አይደለሁም,am,53,translated:en,i m not sure if i can get through this
እንኳን በደህና መጡ,እንኳን በደህና መጡ,am,53,translated:en,welcome to another episode of the
እንደገና አደርገዋለሁ።,እንደገና አደርገዋለሁ።,am,51,translated:en,i m going to do it again
ስለዚህ እስከሚቀጥለው ጊዜ ድረስ,ስለዚህ እስከሚቀጥለው ጊዜ ድረስ,am,51,translated:en,so until next time bye for now
ዋው ዋው,ዋው ዋው,am,51,translated:en,woo oo
ወደ መታጠቢያ ቤት እሄዳለሁ።,ወደ መታጠቢያ ቤት እሄዳለሁ።,am,49,translated:en,i m going to go to the bathroom
እኔ መጠቀም ነበረበት እንደሆነ እርግጠኛ አይደለሁም,እኔ መጠቀም ነበረበት እንደሆነ እርግጠኛ አይደለሁም,am,47,translated:en,i m not sure if i should have used the
አምላክ ሆይ !,አምላክ ሆይ !,am,47,translated:en,oh god
እንኳን በደህና መጡ,እንኳን በደህና መጡ,am,47,translated:en,welcome to the
እወድሻለሁ,እወድሻለሁ,am,43,translated:en,i love you
ያንን አላደርግም,ያንን አላደርግም,am,43,translated:en,i m not going to do that
ጋሻውን መጠቀም እንዳለብኝ እርግጠኛ አይደለሁም ግን ጋሻውን መጠቀም እንዳለብኝ እርግጠኛ አይደለሁም,ጋሻውን መጠቀም እንዳለብኝ እርግጠኛ አይደለሁም ግን ጋሻውን መጠቀም እንዳለብኝ እርግጠኛ አይደለሁም,am,43,translated:en,i m not sure if i should have used the shield but i m not sure if i should have used the shield
transcription by eso ትርጉም በ,transcription by eso ትርጉም በ,am,43,translated:en,transcription by eso translation by
በሙህሰን የቀረበው የተዘጋ ጽሑፍ,በሙህሰን የቀረበው የተዘጋ ጽሑፍ,am,41,translated:en,closed captioning provided by muhsen
እኔ እሄዳለሁ,እኔ እሄዳለሁ,am,41,translated:en,i m going to go
ይህ ምን እንደ ሆነ እርግጠኛ አይደለሁም,ይህ ምን እንደ ሆነ እርግጠኛ አይደለሁም,am,41,translated:en,i m not sure what the hell that was
ሰውዬ,ሰውዬ,am,41,translated:en,oh man
