phrase_norm,phrase,lang,count,source
je vous remercie,Je vous remercie,fr,2838,granary
le président et m,le Président et M,fr,2797,granary
nej,Nej,sv,2753,granary
što pratite kanal,što pratite kanal,sl,2746,granary
što pratite kanal,što pratite kanal,hr,2739,granary
konec,Konec,sk,2653,granary
něěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěěě�,NĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚĚ�,mt,2605,granary
dabarėjome,Dabarėjome,lt,2541,granary
– dėkis,– Dėkis,lt,2516,granary
hvala što pratite,Hvala što pratite,mt,2486,granary
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2461,granary
pentru vizionare,pentru vizionare,ro,2460,granary
chao,Chao,es,2450,granary
¿qué es lo que se hace,¿Qué es lo que se hace,es,2450,granary
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2425,granary
dabarėjus,Dabarėjus,lt,2371,granary
hvala što pratite,Hvala što pratite,hr,2366,granary
vizionare,vizionare,ro,2350,granary
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2302,granary
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2288,granary
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2270,granary
dabarėjimą,Dabarėjimą,lt,2253,granary
kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kuris kur,"kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kuris, kur",lt,2244,granary
oh,oh,en,2221,agh_full|hf_noise
taip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip kaip,"Taip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip, kaip,",lt,2188,granary
