phrase_norm,phrase,lang,count,source,arms,n_models
このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように,このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように,ja,3,mined:turbo|v2,nonspeech,2
موسیقی,موسیقی,ar,3,mined:v3,music,1
hey.,Hey.,en,3,mined:turbo|v3,nonspeech,2
yeah,Yeah,en,3,mined:turbo|v3,nonspeech,2
kjellstavn,Kjellstavn,nb,3,mined:v3,nonspeech,1
nettopp,Nettopp,it,3,mined:v3,nonspeech,1
rip,RIP,en,3,mined:v3,nonspeech,1
hi guys! welcome back to my channel!,Hi guys! Welcome back to my channel!,en,3,mined:v3,nonspeech,1
takk for at du så med.,Takk for at du så med.,nn,3,mined:v3,silence,1
muziek,MUZIEK,en,3,mined:turbo,music,1
foreign,foreign,de,3,mined:turbo,music,1
チョコレート,チョコレート,ja,3,mined:turbo,nonspeech,1
terima kasih kerana menonton,Terima kasih kerana menonton,mg,2,mined:v2|v3,music|nonspeech,2
wow!,Wow!,en,2,mined:v2|v3,music,2
you look better. you look better. you look better.,You look better. You look better. You look better.,en,2,mined:v3|v3,music,2
"i grabbed you by the collar, spit demands in your face. is that more your style? will the mad dog awake? with a chisel and a hammer to crack wide your heart. am i asking?","I grabbed you by the collar, spit demands in your face. Is that more your style? Will the mad dog awake? With a chisel and a hammer to crack wide your heart. Am I asking?",en,2,mined:v2|v3,music,2
"by the dying straights sorry, dire straights sultans of swing sultans of swing which is like a","by the dying straights sorry, dire straights Sultans of Swing Sultans of Swing which is like a",en,2,mined:v2|v3,music,2
i guess i'll say goodbye make love,I guess I'll say goodbye Make love,en,2,mined:v2|v2,music,2
"save me, lord, from this evil no","Save me, Lord, from this evil No",en,2,mined:v2|v3,music,2
"oh, oh, oh oh, oh, oh","Oh, oh, oh Oh, oh, oh",fi,2,mined:v2|v2,music,2
we're born to lose. born to lose. born to lose. born to lose. born to lose.,We're born to lose. Born to lose. Born to lose. Born to lose. Born to lose.,en,2,mined:v2|v3,music,2
i'll never hold a thing against you i'll lay a finger on my nose i'll never hold a thing against you,I'll never hold a thing against you I'll lay a finger on my nose I'll never hold a thing against you,en,2,mined:v2|v3,music,2
"well, i stumbled to the road","Well, I stumbled to the road",en,2,mined:v2|v3,music,2
i'm going to go to the bathroom.,I'm going to go to the bathroom.,en,2,mined:v2,music,1
...and sterilizing our communities.,...and sterilizing our communities.,en,2,mined:v2|v3,music,2
i feel poison in my blood,I feel poison in my blood,en,2,mined:v2|v3,music,2
please let me,Please let me,en,2,mined:v2|v3,music,2
al-fatihah,Al-Fatihah,ms,2,mined:v2,music,1
muzik,Muzik,it,2,mined:v2,music,1
the way up here.,The way up here.,en,2,mined:turbo|v2,music,2
ஐயா,ஐயா,ta,2,mined:v2,music,1
this is not a black sadness cover. this is not a black sadness cover. this is not a black sadness cover.,This is not a black sadness cover. This is not a black sadness cover. This is not a black sadness cover.,en,2,mined:v2|v3,music,2
"jangan lupa like, share dan subscribe channel ini.","Jangan lupa like, share dan subscribe channel ini.",id,2,mined:v2,music,1
can't write romance. live in a shoe. i can't be so blue. i want to eat shrews.,Can't write romance. Live in a shoe. I can't be so blue. I want to eat shrews.,en,2,mined:turbo|v2,music,2
"there's a small tongue in my... oh, yeah. there's a little tongue poking out of my face. a little... oh, tiny tongue. oh. little tiny tongue. i got a little eyeball inside my tongue. it tells me about...","There's a small tongue in my... Oh, yeah. There's a little tongue poking out of my face. A little... Oh, tiny tongue. Oh. Little tiny tongue. I got a little eyeball inside my tongue. It tells me about...",en,2,mined:v2|v3,music,2
i can't add to your fat dishes. i can't add to your fat dishes.,I can't add to your fat dishes. I can't add to your fat dishes.,en,2,mined:v2|v3,music,2
sex in the fucking bathroom. sex on the front stairs. sex with all the queers. sex while you dance. sex through your pants. sex underground.,Sex in the fucking bathroom. Sex on the front stairs. Sex with all the queers. Sex while you dance. Sex through your pants. Sex underground.,en,2,mined:v2|v3,music,2
kamu meninggal,KAMU MENINGGAL,en,2,mined:v2,nonspeech,1
subtitle oleh sdi media,Subtitle oleh SDI Media,id,2,mined:v2,nonspeech,1
"oh, oh, oh, oh, oh.","Oh, oh, oh, oh, oh.",fi,2,mined:v2,nonspeech,1
beeping,BEEPING,en,2,mined:v2,nonspeech,1
zither harp,Zither Harp,en,2,mined:v2,nonspeech,1
"hai semua, selamat datang kembali ke video saya.","Hai semua, selamat datang kembali ke video saya.",id,2,mined:v2,nonspeech,1
hello everyone!,Hello everyone!,it,2,mined:v2|v3,nonspeech,2
hai semua!,Hai semua!,pt,2,mined:v2,nonspeech,1
yeah,yeah,en,2,mined:v2|v3,nonspeech,2
"hai semua, selamat datang kembali ke saluran saya.","Hai semua, selamat datang kembali ke saluran saya.",id,2,mined:v2,nonspeech,1
"hello everyone, welcome to my channel.","Hello everyone, welcome to my channel.",it,2,mined:v2,nonspeech,1
transcription by eso. translation by —,Transcription by ESO. Translation by —,en,2,mined:v2|v3,nonspeech,2
no.,No.,en,2,mined:v2|v2,nonspeech,2
hwylfa'r ffyrdd.,Hwylfa'r ffyrdd.,pl,2,mined:v2,music,1
"i'm a man of my word, i'm a man of my word","I'm a man of my word, I'm a man of my word",en,2,mined:v2,music,1
don't cry.,Don't cry.,en,2,mined:turbo|v2,music,2
cool down,Cool Down,en,2,mined:v2,music,1
i'm promising you that i won't go far and we'll go far,I'm promising you that I won't go far And we'll go far,en,2,mined:v2|v3,music,2
stratford bridge,Stratford Bridge,en,2,mined:v2,music,1
yeah!,Yeah!,en,2,mined:v2,music|nonspeech,1
away,away,en,2,mined:v2,music,1
សុនំនៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់ន់នៅលាន់ន់នៅលាន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន,សុនំនៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់នៅលាន់ន់នៅលាន់ន់នៅលាន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន់ន,km,2,mined:v2,music,1
outro,Outro,fr,2,mined:v2,music|nonspeech,1
i'm not sure what i'm doing here.,I'm not sure what I'm doing here.,en,2,mined:v2,music,1
what do you think?,What do you think?,en,2,mined:turbo|v2,music|nonspeech,2
අපි පිටියි කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට ක,අපි පිටියි කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට ක,si,2,mined:v2,music,1
අපි කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට ක,අපි කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට ක,si,2,mined:v2,music|nonspeech,1
dot us,dot US,en,2,mined:v2|v3,music,2
از اینجا از اینجا,از اینجا از اینجا,ar,2,mined:v2,music,1
«sie sind nicht mehr da»,«Sie sind nicht mehr da»,de,2,mined:v2,music,1
ding!,Ding!,en,2,mined:v2|v3,nonspeech,2
i'm not sure.,I'm not sure.,en,2,mined:v2,nonspeech,1
【ed】,【ED】,ja,2,mined:v2,nonspeech,1
i'm not a fan of the sound of this.,I'm not a fan of the sound of this.,en,2,mined:v2,nonspeech,1
구독!,구독!,ko,2,mined:v2,nonspeech,1
"now, let's try it with the snare.","Now, let's try it with the snare.",en,2,mined:v2,nonspeech,1
"the next, video!!","the next, video!!",en,2,mined:v2,nonspeech,1
bang,BANG,en,2,mined:v2,nonspeech,1
bye bye.,Bye bye.,en,2,mined:v2,nonspeech,1
i'm going to go ahead and get the other one.,I'm going to go ahead and get the other one.,en,2,mined:v2|v3,nonspeech,2
bell rings three times,bell rings three times,en,2,mined:v2,nonspeech,1
1.5l,1.5L,en,2,mined:v2,nonspeech,1
チョコレートチップス,チョコレートチップス,ja,2,mined:v2,nonspeech,1
i'm going to make a small hole in the bottom of the box.,I'm going to make a small hole in the bottom of the box.,en,2,mined:v2,nonspeech,1
바삭바삭한 소리가 너무 좋아요,바삭바삭한 소리가 너무 좋아요,ko,2,mined:v2,nonspeech,1
i'm going to make a new one.,I'm going to make a new one.,en,2,mined:v2|v3,nonspeech,2
1. bolt should be locked back.,1. Bolt should be locked back.,en,2,mined:v2,nonspeech,1
"yn ystod y blynyddoedd, mae'r cyflwyniad yn ymwneud â'r cyflwyniad yma.","Yn ystod y blynyddoedd, mae'r cyflwyniad yn ymwneud â'r cyflwyniad yma.",cy,2,mined:v2,silence,1
"yn ystod y blynyddoedd, mae'r cyfle i'r aelodau o'r ddwyieithu a'r gweithwyr i'w gysylltu â'r cynghrair.","Yn ystod y blynyddoedd, mae'r cyfle i'r aelodau o'r ddwyieithu a'r gweithwyr i'w gysylltu â'r cynghrair.",cy,2,mined:v2,silence,1
wow.,Wow.,en,2,mined:turbo|v3,music|nonspeech,2
ooh.,Ooh.,en,2,mined:turbo|v3,music|nonspeech,2
take my breath.,Take my breath.,en,2,mined:turbo|v3,music,2
recuerdo los momentos de felicidad.,Recuerdo los momentos de felicidad.,es,2,mined:turbo|v3,music,2
"i get down on my knees. i get down on my knees and i put my hands together and i look on up. i tell you now, i feel. i tell you now, i feel.","I get down on my knees. I get down on my knees and I put my hands together and I look on up. I tell you now, I feel. I tell you now, I feel.",en,2,mined:turbo|v3,music,2
away,Away,en,2,mined:turbo|v3,music,2
i love you too much to do that on your face.,I love you too much to do that on your face.,en,2,mined:turbo|v3,music,2
"oh, god.","Oh, God.",en,2,mined:turbo|v3,music,2
i don't get boners anymore. i don't get boners anymore.,I don't get boners anymore. I don't get boners anymore.,en,2,mined:turbo|v3,music,2
come on.,Come on.,en,2,mined:turbo|v3,music|nonspeech,2
"go, go, go!","Go, go, go!",en,2,mined:turbo|v3,music,2
there is no god or money. no need to go to your jobs. dance. dance. dance.,There is no God or money. No need to go to your jobs. Dance. Dance. Dance.,en,2,mined:turbo|v3,music,2
موسيقى,موسيقى,ar,2,mined:turbo|v3,music,2
اشتركوا في القناة,اشتركوا في القناة,ar,2,mined:turbo|v3,music,2
hãy subscribe cho kênh ghiền mì gõ để không bỏ lỡ những video hấp dẫn,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,vi,2,mined:turbo|v3,music,2
stavros,Stavros,sl,2,mined:v3,nonspeech,1
कर दो,कर दो,hi,2,mined:v3,nonspeech,1
gracias.,Gracias.,es,2,mined:v3,nonspeech|silence,1
